"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.68a3d8c1-ee6a-5ddd-bb24-d504b50b86b8","5-LEAD LEADSETADT/PEDIECCLIP","NL02CNS242","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","9200.00","7360.00"
"init.d40a52df-7ff5-5012-9f16-1ec2e4b78b26","BASIC DRESSING SET WITH GREEN TOWELS(DRAPES)","EM01GES003","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4230.00","3384.00"
"init.6f7e56f8-33d1-574a-ba8e-6e141d7b1cca","BREATHING CIRCUITS REUSABLE ACCESSORY KIT (CHILD)","NL02CNS243","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","55800.00","44640.00"
"init.a8c17a1e-9de8-57c9-9625-dba0591d766a","CHVS WEIGHING SCALE (HANGING TYPE)","EM05SCA023","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","5800.00","4640.00"
"init.448130e3-2c16-5b51-8974-d3ced22458ac","DISPOSABLE CUSCO VAGINAL SPECULUM-LARGE","EM12SUR098","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","45.00","36.00"
"init.bcaff66b-475e-5d81-8dce-f6f18a076980","FOOD TROLLEY","EG04GEN012","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","71925.00","57540.00"
"init.0640050d-792a-52c5-9725-9fcefd14921c","IMPLANT INSERTION SET WITH GREEN TOWELS(DRAPES)","EM01GYN012","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","11025.00","8820.00"
"init.05015c03-55ca-5069-8d99-dc28c109c94b","IMPLANT REMOVAL SET WITH GREEN TOWELS(DRAPES)","EM01GYN013","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","8750.00","7000.00"
"init.a346484d-c0c6-5b78-9b5d-5999b5a34032","INTRA OCULAR LENSES 23 DIOPTERS POSTERI0R","EG04GEN084","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","373.00","298.40"
"init.917a5e03-cb08-5de8-b48f-30e7d3e8797d","PEDIATRIC/NEONATAL REUSABLE TEMPERATURE PROBE (SKIN SURFACE)","NL02CNS216","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","11600.00","9280.00"
"init.53c562d9-5134-5a71-a257-9da37669c878","PROSTATECTOMY SET WITH GREEN TOWELS(DRAPES)","EM01URN001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","115000.00","92000.00"
"init.d79bf7e0-2966-5d8b-baa9-7dccedf8d49d","REUSABLE SPO2 SENSOR ADT FINGER-CLIP","NL02CNS212","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","17800.00","14240.00"
"init.a3c36824-b611-55c9-a2f2-583accd44cd1","REUSABLE SPO2 SENSOR NEO BANDAGE","NL02CNS214","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","15000.00","12000.00"
"init.beca80ec-bd7a-58f5-a586-dd52027cea3b","REUSABLE SPO2 SENSOR PDT FINGER-CLIP","NL02CNS213","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20400.00","16320.00"
"init.c643b98c-11a2-5504-a355-48ee0ae04ef7","SIMS VAGINAL RETRACTOR DOUBLE END","EM12SUR095","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1040.00","832.00"
"init.af1d10b9-2635-5f40-aec2-134940351285","SPRAY PUMPS (PLASTIC POLYVINYL MATERIALUV RESISTANT)-10L","EG02PUM002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","29000.00","23200.00"
"init.b37627a0-a6ef-59c0-9612-69e950fb8f1e","THYRODECTOMY SET WITH GREEN TOWELS(DRAPES)","EM01ENT005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","113000.00","90400.00"
"init.064adf2a-ad61-54d7-8c43-e7dd7dcc3d11","TROLLEY ANAESTHETIC DRUG","EM02TRL002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","140070.00","112056.00"
