"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.b5fdae77-6d66-5117-ae3f-4d6ffd86f75b","ENDODONTIC FILES SIZE 45-80 (21MM 25MM 28MM)","NM13DEN061","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","810.00","648.00"
"init.49c5934d-0f6d-5dc7-b917-bbe2ea797349","PAPER POINT (ABSORBENT)SIZE 15","NM13DEN366","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.4ef4eaa9-f340-518f-9670-72b16459857f","PAPER POINT (ABSORBENT)SIZE 20","NM13DEN367","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.d465697f-5152-54c0-a0b3-b50a03c837fb","PAPER POINT (ABSORBENT)SIZE 35","NM13DEN370","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.e2451e42-97a4-5670-a6d9-bb14a1e997e6","PAPER POINT (ABSORBENT)SIZE 45","NM13DEN372","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.e0e7496e-d708-561c-99c7-a66372bff22d","PAPER POINT (ABSORBENT)SIZE 50","NM13DEN373","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.eb696bfd-2ab3-530a-b0ac-2e5a0bd3ebd9","PAPER POINT (ABSORBENT)SIZE 55","NM13DEN374","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.9af7c9c7-59f6-584f-93ef-596ad78716d7","PAPER POINT (ABSORBENT)SIZE 60","NM13DEN375","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.93ced894-a66f-5d0b-a2e1-a05ca6ea997d","PAPER POINT (ABSORBENT)SIZE 70","NM13DEN377","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
"init.a39e0fc1-eb7c-5cf5-8cf3-bd0b331f8402","PAPER POINT (ABSORBENT)SIZE 80","NM13DEN379","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","780.00","624.00"
