"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","x_concept_source","x_concept_code","x_drug_strength"
"init.7c6245cf-a83f-5b96-b17e-983ea4658649","AMLODIPINE TABLETS 5MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","47.00","0.47","local","2272","5MG"
"init.a50d60bc-b7e0-5f99-9389-a36656514411","AMOXYCILLIN/CLAVULANIC POTASSIUM TABS (875+125MG) 1G","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","234.00","23.40","local","","125MG"
"init.b7b6eedb-7457-52c0-8b71-dec6e7eef62e","ENALAPRIL TABLETS 5MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","48.00","0.48","local","1242","5MG"
"init.58e57566-8903-5015-ab8f-e1b4950c32f1","FERROUS SULP/FOLIC ACID TABLETS 200MG/400MG BLISTER PACK","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","106.00","1.06","local","773","200MG"
"init.7fda06be-e743-59bb-9182-dece9e1c4a38","NIFEDIPINE TABLETS S/R","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","85.00","0.85","local","250",""
"init.2debf39f-c89e-50c4-b2fc-11856e10df10","DISPENSING ENVELOPE PLASTIC RESELABLE (1X1000)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","658.00","0.66","local","",""
"init.410dbd44-84c5-5c78-aa3b-43868a2f6c03","IV CANNULAES - 16G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","20.00","local","","16G"
"init.5668b8f5-3c40-5204-811f-986e4922fa83","IV CANNULAES - 18G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","20.00","local","","18G"
"init.f5986cde-40cb-58cc-8693-949347a14352","IV CANNULAES - 20G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","20.00","local","","20G"
"init.e98b7cce-02ac-54fe-80b6-54d65d808899","IV CANNULAES - 22G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","20.00","local","","22G"
"init.f5f0b6ac-7b75-5ea0-9e07-d778e12963e8","IV CANNULAES - 24G","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","20.00","local","","24G"
"init.7d30d3ea-cba7-5f82-8a49-32d4d6b5b455","SYRINGES 2 PC - 10ML RUP WITH G21 NEEDLES","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","950.00","9.50","local","","10ML"
"init.a92a544c-58fb-5318-bd58-eb375b18e86e","SYRINGES 2PC-20ML WITH G21 NEEDLE","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1250.00","12.50","local","","20ML"
"init.eb1d6e09-6dbe-5e0d-8fe8-fc7555b72904","SYRINGES A.D- FIXED DOSE OF 0.5 ML WITH 23 G NEEDLE","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1450.00","14.50","local","","0.5ML"
"init.8a0d8483-fe98-5e9c-9295-715668561099","ZINC OXIDE STRAPPING-SIZE 7.5CM X 4.5M","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","90.00","90.00","local","",""
"init.229e8f00-cee0-5a37-87ca-25484ab21a9d","CATHETERS FOLLEY'S 30ML- SIZE 16 FG Z WAY (SILICONE COATED)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","53.00","53.00","local","","30ML"
"init.861a58c8-9a4f-5417-a26a-c79e5fc4e7ba","CATHETER'S FOLLEY'S 30ML- SIZE 18 FG Z WAY (SILICONE COATED)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","53.00","53.00","local","","30ML"
"init.ff015609-4458-501b-b63b-57519787d118","COTTON WOOL ABSORB WHITE- 400 GMS BP, ROLL","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","330.00","330.00","local","",""
"init.a3d22333-1784-5421-8086-76c96bd2a1b4","HELICOBACTER PYLORI RAPID KIT(ANTIGEN)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2300.00","115.00","local","",""
