"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.072d83c1-83d7-5de7-80da-c329b79c9f9a","ASOT KIT (50 TESTS)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1111.00","888.80"
"init.069a8960-f439-5ce1-a09b-281257dfdd47","BIJOU BOTTLES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","10160.00","8128.00"
"init.81f0444b-ab6d-5b02-8932-d4997fa2e3ea","BLOOD COLLECTION NEEDLE G21","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","590.00","472.00"
"init.19272090-dc2f-5903-862d-4e508f37ed02","BLOOD COLLECTION NEEDLE G23","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","560.00","448.00"
"init.d3363ec3-d805-5c52-8546-1c01c4cff256","BLOOD GROUPING ANTISERA (ANT-A)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","225.00","180.00"
"init.fe8e76ae-2a5e-5a0d-bc04-331a6b0d24fd","BLOOD GROUPING ANTISERA (ANT-B)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","225.00","180.00"
"init.5cbaba9c-29dd-5883-9d94-6d1bc684bbdd","BLOOD GROUPING ANTISERA ANTI -D (IGG+IGM) MONOCLONAL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","470.00","376.00"
"init.d43d4701-ea06-5715-8cb8-e94275fd2bb1","BRUCELLA ARBORTUS KIT (ANTIGEN TEST)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","325.00","260.00"
"init.0751a5c5-ea75-5b3a-b1fe-675097a2ba5e","BRUCELLA MELITENSIS KIT (ANTIGEN TEST)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","325.00","260.00"
"init.42ec4c68-b6b7-55d0-b749-2243e610f038","BUFFER TABLETS PH 6.8","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1420.00","1136.00"
"init.4dc924de-5bea-5b31-a988-476c216c9263","BUFFER TABLETS PH 7.2","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1465.00","1172.00"
"init.abc133cd-cd9d-58d3-97cb-a5736bdba2b2","CLEANER(6X8+CONDITIONER 3X25)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","17100.00","13680.00"
"init.2b43e954-ebf2-5cbd-8fcb-7c200e3f97c0","COVER SLIPS","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","125.00","100.00"
"init.40be72a6-569d-55bf-8201-9dbe150f3851","CRAG (CRYPTOCOCCAL ANTIGEN TEST)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","22663.00","18130.40"
"init.96221c82-2b31-5853-a52a-7872fd84a984","CRYSTALL VIOLET POWDER","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","438.00","350.40"
"init.a4c93912-8210-5ce3-8f22-6b099df4c479","ECS EMPTY VIALS+CAPS 10 ML","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3400.00","2720.00"
"init.2656d469-03a7-55f6-bf67-b308bb97d9d8","ECS EMPTY VIALS+CAPS 25 ML","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","6500.00","5200.00"
"init.cef79fa0-1350-5379-b6b0-bff355fff8e0","ESR TUBE WITH STAND","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1650.00","1320.00"
"init.33cf9e01-a54d-5a37-be8c-62d3733f8bad","FUJI ANALYSER THERMAL ROLL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","930.00","744.00"
"init.c76031c0-2959-52b1-b352-51200fe7f91e","FUSCHIN BASIC","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","720.00","576.00"
