"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.bfa81064-9447-5d06-a07a-9e5c5609ab90","BED SHEETS LARGE - SIZE 160CM X 240CM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3000.00","2400.00"
"init.08dc9dec-fede-5ea8-a983-ccf6baf57a02","BED SPREADS STD (COUNTER-PANES) - LIGHT CREAM-160X230CM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2795.00","2236.00"
"init.5cf11475-094d-5b15-87e4-2ca615d6176c","BLANKETS CELLULAR STD - 180X230CM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2700.00","2160.00"
"init.b2e288f5-0047-5af9-ae68-df55464e0cb0","COTTON MATERIAL GREEN FOR THEATRE USE 36'' X 40M","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","11300.00","9040.00"
"init.b27e5806-c0be-5395-88cd-cccf545f6503","DISPOSABLE SURGICAL GOWN - LARGE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","380.00","304.00"
"init.632f5d87-1273-500e-a849-871f9bdb4989","DISPOSABLE SURGICAL GOWN - MEDIUM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","380.00","304.00"
"init.0e7e55a5-98f7-574f-bd05-5690ac9016ca","DISPOSABLE SURGICAL GOWN - X-LARGE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","380.00","304.00"
"init.6fffbf36-ee43-5d6e-840e-5ec3a4f4223f","OPERATING THEATRE SUITS - LARGE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2585.00","2068.00"
"init.6776a1b8-b056-590e-a78a-25b3c77b563b","OPERATING THEATRE SUITS - MEDIUM","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2585.00","2068.00"
"init.0e3d3dfa-885f-59bd-a659-a0fc9c4bb2f2","OPERATING THEATRE SUITS - X LARGE SIZE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2585.00","2068.00"
