"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.d40a3cf0-ebac-5120-80f0-bc4bde65c1a7","20ML SYRINGE BD BRAND (WITHOUT NEEDLE)","NM10SYR042","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","24.00","19.20"
"init.7dcbf157-4f27-50ad-b2ff-2e3caaf3422e","ADHENSIVE SKIN TRACTION KIT ADULT","NM14THE013","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1050.00","840.00"
"init.f671a519-e9de-5e8e-8deb-f1b72be5bb30","ADHENSIVE TAPE SURGICAL POROUSTRANSPARENT 2.5CM X 9.14M","NG05MSC024","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","345.00","276.00"
"init.2e4be5c2-d624-5ed7-b8d4-0dfc56577bb0","AIRWAY GUEDEL - SIZE 0","NM20RES001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","41.00","32.80"
"init.acd6ba1c-ef42-527c-b0c5-d50fa8ee92f7","AIRWAY GUEDEL - SIZE 00","NM20RES002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","42.00","33.60"
"init.8bb1186a-a243-508d-916e-37d091fa1576","AIRWAY GUEDEL - SIZE 1","NM20RES003","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","42.00","33.60"
"init.ed9b767e-ee65-5fbb-bef8-03aabd2d092c","AIRWAY GUEDEL - SIZE 2","NM20RES004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","42.00","33.60"
"init.c5efe050-2e9f-51e1-94cf-22959acfc742","AIRWAY GUEDEL - SIZE 3","NM20RES005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","34.00","27.20"
"init.a8e41195-9561-5bc1-ae08-f9f5a7fba55e","AIRWAY GUEDEL - SIZE 4","NM20RES006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","35.00","28.00"
"init.9330706f-4bb6-5617-99c3-da32d8b7f456","AIRWAY GUEDEL - SIZE 5","NM20RES016","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","39.00","31.20"
"init.62bd3dcb-07db-5622-9378-3379d082fd5a","AIRWAYS LARYNGEAL MASK NO 2","NM20RES017","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","410.00","328.00"
"init.8d43c408-b890-5db6-bdd5-a1a87570d024","AIRWAYS LARYNGEAL MASK NO 3","NM20RES019","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","410.00","328.00"
"init.7c66930b-fc9e-5e78-8280-88f09de915d3","ALCOHOL PREINJECTION SWABS","NM12ADH006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","173.00","138.40"
"init.ba04c76e-75c6-5388-86fa-60a08d6941a8","AMBU BAGS WITH MASKS - ADULT","NM20RES008","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3100.00","2480.00"
"init.7d1ece4f-037a-508f-aaa9-fa53063f7d60","AMBU BAGSWITH MASKS - CHILD","NM20RES009","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3100.00","2480.00"
"init.afc18113-f158-5a72-8c52-aff25d2ef7c9","AMBU BAGS WITH MASKS - NEONATE","NM20RES007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3100.00","2480.00"
"init.9fc8151b-d96f-545e-bf02-f583d36ce86f","AMNICOT","NM01GAU019","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","310.00","248.00"
"init.5934944d-65fc-5b2b-94c3-ecdf5ac75e4c","APPLICATOR STICKS","NL01APS002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","488.00","390.40"
"init.f8b276fe-f462-5fa2-b613-b245bf176f3c","AUTOCLAVING TAPE - ¾ ( 19MM X 150M)","","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","320.00","256.00"
"init.f1bd95bb-405b-5a15-be01-7cbb25ed6266","BANDAGES COTTON CREPE RIDGED/WRINKLED ELASTIC-10CM X 4.5M BP","NM01BAN006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","35.00","28.00"
"init.62c63133-053e-52f7-b0cc-4bcb502ac55d","BANDAGES COTTON CREPE RIDGED/WRINKLED ELASTIC -15CM X 4.5M BP","NM01BAN007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","75.00","60.00"
"init.8d860756-c455-5563-a9de-60133b9b0f0e","BANDAGES COTTON L/WOVEN BP- 10CM X 4.5M","NM01BAN001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","207.00","165.60"
