"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.8528c7f8-1929-5cc4-8675-d4e60c4515b2","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 12MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.50b390ee-4373-5022-b4d8-b40e8eecf69b","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 14MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.346768ff-15b6-5c7a-bd4b-89b397091530","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 16MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.1dca9c71-88e2-5155-9db1-663bbfaf316a","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 18MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.fa7acc00-7c16-51d4-aab5-0e04780fc004","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 20MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.0fe1e9ca-7a1b-5e1f-bdca-a72a5c520f58","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 22MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.a730d13b-275a-59d1-974f-8ed8128406a3","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 24MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.ec308f00-2ceb-5a3b-bcca-308b1300dc24","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 26MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","184.00","147.20"
"init.cee85b10-bfde-5187-b094-db8393cd7ab0","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 28MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","208.00","166.40"
"init.fc29cce7-e82d-5ee2-8341-fd073940a648","3.5MM CORTICAL BONE SCREW/FULLY THREADED LENGTH 30MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","208.00","166.40"
"init.72cdfdc0-c9f1-5365-b3fb-ebb7c9b8ccf0","4.0 MM CANCELLOUS BONE SCREW ½ LENGTH 45MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.9264c735-f485-5c7d-aacd-5c150cb154e7","4.0 MM CANCELLOUS BONE SCREW ½ LENGTH 50MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","335.00","268.00"
"init.0ae6e291-a2fe-5bb2-8818-7c9e609fbd6b","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 12MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","394.00","315.20"
"init.a4f9c953-0769-55a5-8513-f8725b7afb9b","4.0 MM CANCELLOUS BONE SCREW ½ THREADED LENGTH 14MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","380.00","304.00"
