"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","x_concept_source","x_concept_code","x_drug_strength"
"init.16472e00-0bce-5614-a285-d7a76b53435c","ABIRATERONE TABLET 250MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","495.00","412.50","local","15099","250MG"
"init.4e2c9c0b-b3e9-5f20-b308-0f89f4894b53","ACETAZOLAMIDE 250MG TABLETS","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","20.20","16.83","local","15100","250MG"
"init.1fc6d37a-168f-5dd1-8220-3ea70a90456a","ACETYLCYSTEINE INJECTION 200MG/ML-10ML AMPOULE","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","5760.00","4800.00","local","15101","200MG/ML"
"init.3c0f9f7a-68ae-5510-8922-f3a541241d6f","ACETYL SALICYLIC ACID TABLETS 300 MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","0.70","0.58","local","","300MG"
"init.6864d2cc-41a9-5d3c-be22-e9581f132f15","ACETYLSALICYLIC ACID TABLETS 75MG-ENTERIC COATED BLISTER PACK","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","2.00","1.67","local","","75MG"
"init.29af5fcb-1b6a-5a2d-bb9f-61285a45668c","ACICLOVIR 3% OPHTHALMIC OINTMENT","init.categ_products_drug_orders","product","init.89791287-a474-4a34-b8a5-7357da93ebec","init.89791287-a474-4a34-b8a5-7357da93ebec","Ordered quantities","32.40","27.00","local","732",""
"init.fee2876b-4672-4dfa-ba92-c3fef849f846","ACICLOVIR PFI 250MG VIAL","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","1080.00","900.00","local","732","250MG"
"init.32574131-e228-5c8a-b848-a964ef006d43","ACTIVATED CHARCOAL","init.categ_products_drug_orders","product","init.a8a0804c-1350-11df-a1f1-0026b9348838","init.a8a0804c-1350-11df-a1f1-0026b9348838","Ordered quantities","0.00","0.00","local","",""
"init.668dceb9-a68c-5606-84ef-9e999bc92129","ACYCLOVIR 400MG TABLETS 10'S","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","7.20","6.00","local","732","400MG"
"init.653a6cae-5242-5141-8e91-ee162935fda8","ADRENALINE INJECTION - 1MG/ML","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","14.40","12.00","local","7459","1MG/ML"
"init.dd143ad1-2e87-5f53-b6c5-4ced64ca45fc","ALBENDAZOLE TABLETS 400MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","4.91","4.09","local","941","400MG"
"init.39e457e0-faa3-5313-9677-a95ec52a32d5","ALBUMIN (HUMAN) INJECTION 20%","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","10800.00","9000.00","local","15102",""
