"id","name","usage","location_id/id","company_id/id"
"init.uasin_gishu_ph_view","Uasin Gishu / Pharmacy","view","stock.stock_location_locations","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_ph_lot","Uasin Gishu Pharmacy Stock","internal","init.uasin_gishu_ph_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_ph_in","Uasin Gishu Pharmacy Input","internal","init.uasin_gishu_ph_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_ph_out","Uasin Gishu Pharmacy Output","internal","init.uasin_gishu_ph_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_ph_pack","Uasin Gishu Pharmacy Packing","internal","init.uasin_gishu_ph_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_st_view","Uasin Gishu / Storage","view","stock.stock_location_locations","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_st_lot","Uasin Gishu Main Stock","internal","init.uasin_gishu_st_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_st_in","Uasin Gishu Storage Input","internal","init.uasin_gishu_st_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_st_out","Uasin Gishu Storage Output","internal","init.uasin_gishu_st_view","init.0900559c-1352-11df-a1f1-0026b9348838"
"init.uasin_gishu_st_pack","Uasin Gishu Storage Packing","internal","init.uasin_gishu_st_view","init.0900559c-1352-11df-a1f1-0026b9348838"
