kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,excel_row,candidate_count,candidates
PM06AML001,PM06AML001,AMLODIPINE TABLET 5MG,AMLODIPINE TABLET 5MG,False,PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,21,2,init.7c6245cf-a83f-5b96-b17e-983ea4658649|kesses_kemsa_stocks_received_latest.csv|AMLODIPINE TABLETS 5MG ;; init.db6464a3-af8c-5762-959c-2c4c4fb105aa|kesses_pharmaceuticals_stock.csv|AMLODIPINE TABLET 5MG
PM01AMX015,PM01AMX015,AMOXICILLIN DISPERSIBLE SCORED TAB 250MG  *** Tracer ***,AMOXICILLIN DISPERSIBLE SCORED TAB 250MG,True,PHARMACEUTICALS,ANTIBIOTICS & OTHER ANTIBACTERIALS,25,2,init.55d5f86b-178c-5410-825e-f8a92bf38597|kesses_kemsa_stocks_received_latest.csv|AMOXICILLIN DISPERSIBLE SCORED TAB 250 MG ;; init.c9c4313e-b3a0-53dc-a7d2-169d7a69ac6e|kesses_pharmaceuticals_stock.csv|AMOXICILLIN DISPERSIBLE SCORED TAB 250MG
PM01CEF003,PM01CEF003,CEFIXIME TABLET 400MG,CEFIXIME TABLET 400MG,False,PHARMACEUTICALS,ANTIBIOTICS & OTHER ANTIBACTERIALS,59,2,init.7975d55d-2596-5d49-bda5-b9edb073f317|kesses_kemsa_stocks_received_latest.csv|CEFIXIME TABLET 400 MG ;; init.94e534b0-5102-5b48-a202-42bd46555fdd|kesses_pharmaceuticals_stock.csv|CEFIXIME TABLET 400MG
PM12CLT001,PM12CLT001,CLOTRIMAZOLE CREAM  - 1%  *** Tracer ***,CLOTRIMAZOLE CREAM - 1%,True,PHARMACEUTICALS,TOPICAL ANTI-INFECTIVE MEDICINES,79,2,init.3d1e5961-19c3-5402-bc96-d45adc192e16|kesses_kemsa_stocks_received_latest.csv|CLOTRIMAZOLE CREAM-1% ;; init.e7bbfef6-f0ba-5f14-822b-6d2105b7addc|kesses_pharmaceuticals_stock.csv|CLOTRIMAZOLE CREAM - 1%
PM06ENA001,PM06ENA001,ENALAPRIL TABLETS - 5MG  *** Tracer ***,ENALAPRIL TABLETS - 5MG,True,PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,99,2,init.b7b6eedb-7457-52c0-8b71-dec6e7eef62e|kesses_kemsa_stocks_received_latest.csv|ENALAPRIL TABLETS 5MG ;; init.4625ccb6-d31e-5c53-ae67-f54bdb1ce263|kesses_pharmaceuticals_stock.csv|ENALAPRIL TABLETS - 5MG
PM07LGN001,PM07LGN001,LIGNOCAINE HYDROCHLORIDE  INJECTION  - 2%,LIGNOCAINE HYDROCHLORIDE INJECTION - 2%,True,PHARMACEUTICALS,LOCAL ANAESTHETICS,166,2,init.47752014-6cf0-509e-912d-b865705e848b|kesses_kemsa_stocks_received_latest.csv|LIGNOCAINE HYDROCHLORIDE INJECTION 2% ;; init.33d212da-f3ec-52c5-9e21-bf97b8f055b0|kesses_pharmaceuticals_stock.csv|LIGNOCAINE HYDROCHLORIDE INJECTION - 2%
PM10XYT001,PM10XYT001,OXYTOCIN INJECTION - 10 IU/ML  *** Tracer ***,OXYTOCIN INJECTION - 10 IU/ML,True,PHARMACEUTICALS,UTEROTONICS,204,2,init.4391a724-f1d1-5cda-bdf6-19880a5b9e80|kesses_kemsa_stocks_received_latest.csv|OXYTOCIN INJECTION 10 IU/ML ;; init.30b8b233-b19f-5314-bf28-e0a0190991e5|kesses_pharmaceuticals_stock.csv|OXYTOCIN INJECTION - 10 IU/ML
PM07PHB001,PM07PHB001,PHENOBARBITONE  INJECTION - 200MG/ML,PHENOBARBITONE INJECTION - 200MG/ML,True,PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,211,2,init.145931a7-cbaf-541f-b84a-99d03c0fa8ec|kesses_kemsa_stocks_received_latest.csv|PHENOBARBITONE INJECTION-200MG/ML ;; init.2de5407d-9c5f-5ad4-9082-6659d20120a5|kesses_pharmaceuticals_stock.csv|PHENOBARBITONE INJECTION - 200MG/ML
PM12SLV001,PM12SLV001,SILVER SULPHADIAZINE CREAM - 1%,SILVER SULPHADIAZINE CREAM - 1%,False,PHARMACEUTICALS,TOPICAL ANTI-INFECTIVE MEDICINES,242,3,init.99bafbe6-a975-50fc-994b-e31bdcac54a0|kesses_kemsa_stocks_received_latest.csv|SILVER SULPHADIAZINE CREAM-1% ;; init.f8a3d73a-b443-51e6-a218-fe8b27cf1ac0|kesses_pharmaceuticals_stock.csv|SILVER SULPHADIAZINE CREAM - 1% ;; init.75c25a13-1b1a-4fc2-a996-0a066700f44c|kesses_pharmaceuticals_stock.csv|SILVER SULPHADIAZINE CREAM 1%
PM12SLV003,PM12SLV003,SILVER SULPHADIAZINE CREAM 1%,SILVER SULPHADIAZINE CREAM 1%,False,PHARMACEUTICALS,TOPICAL ANTI-INFECTIVE MEDICINES,243,3,init.99bafbe6-a975-50fc-994b-e31bdcac54a0|kesses_kemsa_stocks_received_latest.csv|SILVER SULPHADIAZINE CREAM-1% ;; init.f8a3d73a-b443-51e6-a218-fe8b27cf1ac0|kesses_pharmaceuticals_stock.csv|SILVER SULPHADIAZINE CREAM - 1% ;; init.75c25a13-1b1a-4fc2-a996-0a066700f44c|kesses_pharmaceuticals_stock.csv|SILVER SULPHADIAZINE CREAM 1%
PM12TET002,PM12TET002,TETRACYCLINE EYE OINTMENT -1%  *** Tracer ***,TETRACYCLINE EYE OINTMENT -1%,True,PHARMACEUTICALS,OPHTHALMIC ANTI-INFECTIVE MEDICINES,260,2,init.6c38e52e-b9a0-53e3-af98-c232ea052ef9|kesses_kemsa_stocks_received_latest.csv|TETRACYCLINE EYE OINTMENT-1% ;; init.38f352c5-8181-560b-a473-c5c6a1aea185|kesses_pharmaceuticals_stock.csv|TETRACYCLINE EYE OINTMENT -1%
