odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
init.ec73e2d6-7e69-47fb-b0af-a5f9c756c12c,Consultation Cash,consultation_orders.csv,0.0,
init.aad5f784-1350-11df-a1f1-0026b9348838,Triomune-30,drugs.csv,1.00,
init.aad5f982-1350-11df-a1f1-0026b9348838,Triomune-40,drugs.csv,1.00,
init.aad5fab8-1350-11df-a1f1-0026b9348838,d4T-30,drugs.csv,1.00,
init.aad5fbe4-1350-11df-a1f1-0026b9348838,d4T-40,drugs.csv,1.00,
init.aad5fd10-1350-11df-a1f1-0026b9348838,DDI 125,drugs.csv,1.00,
init.aad5fe32-1350-11df-a1f1-0026b9348838,DDI 200,drugs.csv,1.00,
init.d57e301e-47ee-11df-8f94-000d6014b64c,Triomune-15,drugs.csv,1.00,
init.dcaa4de6-47ee-11df-8f94-000d6014b64c,Triomune-20,drugs.csv,1.00,
init.b999a0ac-8df0-11df-99f0-000d6014b64c,DDI 400 EC,drugs.csv,1.00,
init.f09920e0-9107-11df-8193-000d6014b64c,DDI 250 EC,drugs.csv,1.00,
init.f7cf0dd2-932f-11df-8193-000d6014b64c,Triomune-Junior,drugs.csv,1.00,
init.8ddf2f66-9333-11df-8193-000d6014b64c,NVP 200 and 3TC 150 and ZDV 300,drugs.csv,1.00,
init.20185c04-9334-11df-8193-000d6014b64c,3TC 30 and NVP 50 and ZDV 60,drugs.csv,1.00,
init.6ec1a75a-3110-11e0-8090-0026b9348838,NVP 200 and D4T 30 and 3TC 150,drugs.csv,1.00,
init.0485075a-3111-11e0-8090-0026b9348838,NEVIRAPINE 200mg,drugs.csv,1.00,
init.d6262526-3113-11e0-8090-0026b9348838,LAMIVUDINE 150mg,drugs.csv,1.00,
init.21d417bc-3114-11e0-8090-0026b9348838,ZIDOVUDINE 300mg,drugs.csv,1.00,
init.9ff7a306-3115-11e0-8090-0026b9348838,STAVUDINE 30mg,drugs.csv,1.00,
init.fd4cd670-3115-11e0-8090-0026b9348838,3TC 150 and ZDV 300,drugs.csv,1.00,
init.4677ad3e-3120-11e0-8090-0026b9348838,EFAVIRENZ 600mg,drugs.csv,1.00,
