kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,pack_size,excel_price,excel_row,odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
PM07ACE003,PM07ACE003,ACETAZOLAMIDE 250MG TABLETS,ACETAZOLAMIDE 250MG TABLETS,False,PHARMACEUTICALS,"MIOTICS, MYDIATRICS  & ANTIGLAUCOMA MEDICINES",PACK OF 30S,505,7,init.4e2c9c0b-b3e9-5f20-b308-0f89f4894b53,ACETAZOLAMIDE 250MG TABLETS,kesses_pharmaceuticals_stock.csv,20.20,
PM10ALC001,PM10ALC001,ACETYLCYSTEINE INJECTION  200MG/ML-10ML AMPOULE,ACETYLCYSTEINE INJECTION 200MG/ML-10ML AMPOULE,True,PHARMACEUTICALS,SPECIFIC ANTIDOTES,10ml,4800,8,init.1fc6d37a-168f-5dd1-8220-3ea70a90456a,ACETYLCYSTEINE INJECTION 200MG/ML-10ML AMPOULE,kesses_pharmaceuticals_stock.csv,5760.00,
PM05ASA004,PM05ASA004,ACETYL SALICYLIC ACID TABLETS 300 MG,ACETYL SALICYLIC ACID TABLETS 300 MG,False,PHARMACEUTICALS,NON OPIOIDS & NSAIMS,PACK OF 500S,290,9,init.3c0f9f7a-68ae-5510-8922-f3a541241d6f,ACETYL SALICYLIC ACID TABLETS 300 MG,kesses_pharmaceuticals_stock.csv,0.70,
PM05ASA003,PM05ASA003,ACETYLSALICYLIC ACID TABLETS 75MG-ENTERIC COATED BLISTER PACK,ACETYLSALICYLIC ACID TABLETS 75MG-ENTERIC COATED BLISTER PACK,False,PHARMACEUTICALS,NON OPIOIDS & NSAIMS,PACK OF 30S,50,10,init.6864d2cc-41a9-5d3c-be22-e9581f132f15,ACETYLSALICYLIC ACID TABLETS 75MG-ENTERIC COATED BLISTER PACK,kesses_pharmaceuticals_stock.csv,2.00,
PM12ACY006,PM12ACY006,ACICLOVIR 3% OPHTHALMIC OINTMENT,ACICLOVIR 3% OPHTHALMIC OINTMENT,False,PHARMACEUTICALS,OPHTHALMIC ANTI-INFECTIVE MEDICINES,4.5 gm,27,11,init.29af5fcb-1b6a-5a2d-bb9f-61285a45668c,ACICLOVIR 3% OPHTHALMIC OINTMENT,kesses_pharmaceuticals_stock.csv,32.40,
PM04ACY006,PM04ACY006,ACICLOVIR PFI 250MG VIAL,ACICLOVIR PFI 250MG VIAL,False,PHARMACEUTICALS,ANTIVIRAL MEDICINES-ANTI HERPES,VIAL,900,12,init.fee2876b-4672-4dfa-ba92-c3fef849f846,ACICLOVIR PFI 250MG VIAL,kesses_pharmaceuticals_stock.csv,1080.00,
PM04ACY003,PM04ACY003,ACYCLOVIR 400MG TABLETS 10'S,ACYCLOVIR 400MG TABLETS 10'S,False,PHARMACEUTICALS,ANTIVIRAL MEDICINES-ANTI HERPES,PACK OF 10,60,13,init.668dceb9-a68c-5606-84ef-9e999bc92129,ACYCLOVIR 400MG TABLETS 10'S,kesses_pharmaceuticals_stock.csv,7.20,
PM07ADR001,PM07ADR001,ADRENALINE INJECTION  - 1MG/ML  *** Tracer ***,ADRENALINE INJECTION - 1MG/ML,True,PHARMACEUTICALS,ANTI ALLERGICS & MEDICINE USED IN ANAPHYLAXIS,AMPOULE,12,14,init.653a6cae-5242-5141-8e91-ee162935fda8,ADRENALINE INJECTION - 1MG/ML,kesses_pharmaceuticals_stock.csv,14.40,
PM03ALB007,PM03ALB007,ALBENDAZOLE TABLETS 400MG,ALBENDAZOLE TABLETS 400MG,False,PHARMACEUTICALS,ANTIHELMINTICS,Blister Pack of 500s,2045,15,init.dd143ad1-2e87-5f53-b6c5-4ced64ca45fc,ALBENDAZOLE TABLETS 400MG,kesses_pharmaceuticals_stock.csv,4.91,
PM10ALB001,PM10ALB001,ALBUMIN (HUMAN) INJECTION 20%  *** Tracer ***,ALBUMIN (HUMAN) INJECTION 20%,True,PHARMACEUTICALS,PLASMA SUBSTITUTES,100 ML,9000,16,init.39e457e0-faa3-5313-9677-a95ec52a32d5,ALBUMIN (HUMAN) INJECTION 20%,kesses_pharmaceuticals_stock.csv,10800.00,
