kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,pack_size,excel_price,excel_row,suggested_csv_file
PM12GEN003,PM12GEN003,GENTAMICIN  SULPHATE EYE/EAR SOLUTION  0.3% 10ML,GENTAMICIN SULPHATE EYE/EAR SOLUTION 0.3% 10ML,True,PHARMACEUTICALS,OPHTHALMIC ANTI-INFECTIVE MEDICINES,10ML VIAL,27,127,kesses_pharmaceuticals_stock.csv
PM07NDR001,PM07NDR001,NORADRENALINEINJECTION 2MG/2ML-AMPOULE,NORADRENALINEINJECTION 2MG/2ML-AMPOULE,False,PHARMACEUTICALS,ANTI ALLERGICS & MEDICINE USED IN ANAPHYLAXIS,AMPOULE,390,198,kesses_pharmaceuticals_stock.csv
PM14PHY002,PM14PHY002,PHYTOMENADIONE INJECTION (VITAMIN K) 10MG/ML (0.2ML AMPOULE)-PAEDIATRIC,PHYTOMENADIONE INJECTION (VITAMIN K) 10MG/ML (0.2ML AMPOULE)-PAEDIATRIC,False,PHARMACEUTICALS,MEDICINES AFFECTING COAGULATION,AMPOULE,55,216,kesses_pharmaceuticals_stock.csv
PM07VAL003,PM07VAL003,SODIUM VALPROATE (VALPROIC ACID)ORAL SOLUTION (SYRUP) 200MG/5ML,SODIUM VALPROATE (VALPROIC ACID)ORAL SOLUTION (SYRUP) 200MG/5ML,False,PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,300ml Bottle,1250,249,kesses_pharmaceuticals_stock.csv
PM06AMN001,PM06AMN001,AMLODIPINE 5MG + NEBIVOLOL 5MG TABLETS  - Nebi AM,AMLODIPINE 5MG + NEBIVOLOL 5MG TABLETS - Nebi AM,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,43,281,kesses_pharmaceuticals_stock.csv
PM10BSP005,PM10BSP005,BISOPROLOL 10MG TABLETS  - Bisocard,BISOPROLOL 10MG TABLETS - Bisocard,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,27,282,kesses_pharmaceuticals_stock.csv
PM10BSP006,PM10BSP006,BISOPROLOL 5MG TABLETS  - Bisocard,BISOPROLOL 5MG TABLETS - Bisocard,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,16,283,kesses_pharmaceuticals_stock.csv
PM10DPG001,PM10DPG001,DAPAGLIFOZIN 10MG TABLETS  - Dapaflo - 10,DAPAGLIFOZIN 10MG TABLETS - Dapaflo - 10,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,45,284,kesses_pharmaceuticals_stock.csv
PM10EMP001,PM10EMP001,EMPAGLIFLOZIN 10 MG  TABLETS  - Empiget-10,EMPAGLIFLOZIN 10 MG TABLETS - Empiget-10,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,42,285,kesses_pharmaceuticals_stock.csv
PM10MEE002,PM10MEE002,EMPAGLIFLOZIN 12.5 MG +METFORMIN 1000MG TABLET  - Empiget-M,EMPAGLIFLOZIN 12.5 MG +METFORMIN 1000MG TABLET - Empiget-M,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,35,286,kesses_pharmaceuticals_stock.csv
