kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,pack_size,excel_price,excel_row,suggested_csv_file,fuzzy_suggestions
PM12GEN003,PM12GEN003,GENTAMICIN  SULPHATE EYE/EAR SOLUTION  0.3% 10ML,GENTAMICIN SULPHATE EYE/EAR SOLUTION 0.3% 10ML,True,PHARMACEUTICALS,OPHTHALMIC ANTI-INFECTIVE MEDICINES,10ML VIAL,27,127,kesses_pharmaceuticals_stock.csv,0.64|init.7fc68da9-7b4c-555a-abb9-0d435604ba06|kesses_pharmaceuticals_stock.csv|GENTAMICIN SULPHATE SOLUTION (EYE / EAR DROPS) 0.3 % W/V ;; 0.36|init.05716d98-82d5-5506-9f75-448328f25aed|kesses_pharmaceuticals_stock.csv|DEXAMETHASONE 0.1% + GENTAMICIN 0.3% EYE DROPS
PM07NDR001,PM07NDR001,NORADRENALINEINJECTION 2MG/2ML-AMPOULE,NORADRENALINEINJECTION 2MG/2ML-AMPOULE,False,PHARMACEUTICALS,ANTI ALLERGICS & MEDICINE USED IN ANAPHYLAXIS,AMPOULE,390,198,kesses_pharmaceuticals_stock.csv,0.50|init.d9d71b24-8910-5f68-aa8f-c5e9fe48c496|kesses_pharmaceuticals_stock.csv|NORADRENALINE INJECTION 2MG/2ML-AMPOULE ;; 0.50|init.9dcd95c4-8d06-5baa-a53b-f46e4454a61c|kesses_oncology.csv|ONDANSETRON INJECTION 2MG/ML 2ML AMPOULE
PM14PHY002,PM14PHY002,PHYTOMENADIONE INJECTION (VITAMIN K) 10MG/ML (0.2ML AMPOULE)-PAEDIATRIC,PHYTOMENADIONE INJECTION (VITAMIN K) 10MG/ML (0.2ML AMPOULE)-PAEDIATRIC,False,PHARMACEUTICALS,MEDICINES AFFECTING COAGULATION,AMPOULE,55,216,kesses_pharmaceuticals_stock.csv,
PM07VAL003,PM07VAL003,SODIUM VALPROATE (VALPROIC ACID)ORAL SOLUTION (SYRUP) 200MG/5ML,SODIUM VALPROATE (VALPROIC ACID)ORAL SOLUTION (SYRUP) 200MG/5ML,False,PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,300ml Bottle,1250,249,kesses_pharmaceuticals_stock.csv,0.56|init.760531b6-98c6-5765-afee-8486c5bde798|kesses_pharmaceuticals_stock.csv|VALPROIC ACID(SODIUM VALPROATE) 200MG TABLETS
PM06AMN001,PM06AMN001,AMLODIPINE 5MG + NEBIVOLOL 5MG TABLETS  - Nebi AM,AMLODIPINE 5MG + NEBIVOLOL 5MG TABLETS - Nebi AM,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,43,281,kesses_pharmaceuticals_stock.csv,0.40|init.568771d5-3116-4ed7-a85d-3f7f0b9a4e54|drugs.csv|AMLODIPINE 5mg TAB ;; 0.40|init.db6464a3-af8c-5762-959c-2c4c4fb105aa|kesses_pharmaceuticals_stock.csv|AMLODIPINE TABLET 5MG ;; 0.40|init.7c6245cf-a83f-5b96-b17e-983ea4658649|kesses_kemsa_stocks_received_latest.csv|AMLODIPINE TABLETS 5MG
PM10BSP005,PM10BSP005,BISOPROLOL 10MG TABLETS  - Bisocard,BISOPROLOL 10MG TABLETS - Bisocard,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,27,282,kesses_pharmaceuticals_stock.csv,
PM10BSP006,PM10BSP006,BISOPROLOL 5MG TABLETS  - Bisocard,BISOPROLOL 5MG TABLETS - Bisocard,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,16,283,kesses_pharmaceuticals_stock.csv,
PM10DPG001,PM10DPG001,DAPAGLIFOZIN 10MG TABLETS  - Dapaflo - 10,DAPAGLIFOZIN 10MG TABLETS - Dapaflo - 10,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,45,284,kesses_pharmaceuticals_stock.csv,0.50|init.6a2659a7-708f-51fc-a0ba-de6899ad2ae4|kesses_pharmaceuticals_stock.csv|DAPAGLIFOZIN 10MG TABLETS
PM10EMP001,PM10EMP001,EMPAGLIFLOZIN 10 MG  TABLETS  - Empiget-10,EMPAGLIFLOZIN 10 MG TABLETS - Empiget-10,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,42,285,kesses_pharmaceuticals_stock.csv,
PM10MEE002,PM10MEE002,EMPAGLIFLOZIN 12.5 MG +METFORMIN 1000MG TABLET  - Empiget-M,EMPAGLIFLOZIN 12.5 MG +METFORMIN 1000MG TABLET - Empiget-M,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,35,286,kesses_pharmaceuticals_stock.csv,
PM10EMP002,PM10EMP002,EMPAGLIFLOZIN 25MG  - Empiget-25,EMPAGLIFLOZIN 25MG - Empiget-25,True,SSD PHARMACEUTICALS,MANUAL RESUSCITATION EQUIPMENT,TABLET,50,287,kesses_pharmaceuticals_stock.csv,
PM10MEE003,PM10MEE003,EMPAGLIFLOZIN 5MG + METFORMIN 1000MG  - Empiget-M,EMPAGLIFLOZIN 5MG + METFORMIN 1000MG - Empiget-M,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,34,288,kesses_pharmaceuticals_stock.csv,
PM10MEE001,PM10MEE001,EMPAGLIFLOZIN  5MG +METFORMIN 500 MG TABLETS  - Empiget - M,EMPAGLIFLOZIN 5MG +METFORMIN 500 MG TABLETS - Empiget - M,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,35,289,kesses_pharmaceuticals_stock.csv,
PM11ESM004,PM11ESM004,ESOMEPRAZOLE 20MG TABLETS  - Esose 20,ESOMEPRAZOLE 20MG TABLETS - Esose 20,True,SSD PHARMACEUTICALS,ANTIACID/ANTIULCER MEDICINES,TABLET,13,290,kesses_pharmaceuticals_stock.csv,
PM11ESM006,PM11ESM006,ESOMEPRAZOLE 40MG TABLETS  - Esose 40,ESOMEPRAZOLE 40MG TABLETS - Esose 40,True,SSD PHARMACEUTICALS,ANTIACID/ANTIULCER MEDICINES,TABLET,20,291,kesses_pharmaceuticals_stock.csv,0.50|init.992fd29f-fbd6-5cd4-bba9-f7e68ff7537f|kesses_pharmaceuticals_stock.csv|ESOMEPRAZOLE 40MG TABLETS ;; 0.50|init.c2357ca1-a872-451c-bf6d-29c4337a2c0c|drugs.csv|ESOMEPRAZOLE 40mg
PM14FDH001,PM14FDH001,FLAVONOIDIC DIOSMIN/HESPERIDIN 450MG/50MG  TABLETS  - Daflon,FLAVONOIDIC DIOSMIN/HESPERIDIN 450MG/50MG TABLETS - Daflon,True,SSD PHARMACEUTICALS,VITAMINS AND MINERALS,PACK OF 30S,1650,292,kesses_pharmaceuticals_stock.csv,0.83|init.544867d6-5465-5b6b-82cc-64f1fe8e1536|kesses_pharmaceuticals_stock.csv|FLAVONOIDIC DIOSMIN/HESPERIDIN 450MG/50MG TABLETS
